Date,High,Low,Open,Close,Volume,Adj Close
2021-01-04,158.17999267578125,156.5399932861328,156.6699981689453,157.5399932861328,13152900.0,156.10464477539062
2021-01-05,156.9499969482422,155.66000366210938,156.9499969482422,156.3699951171875,10458100.0,154.94529724121094
2021-01-06,153.85000610351562,152.2899932861328,153.82000732421875,153.16000366210938,22827300.0,151.76455688476562
2021-01-07,152.1699981689453,151.25999450683594,151.7899932861328,151.80999755859375,14651900.0,150.4268341064453
2021-01-08,151.9600067138672,150.66000366210938,151.47999572753906,151.32000732421875,13622500.0,149.94131469726562
2021-01-11,151.2100067138672,150.49000549316406,151.0,151.07000732421875,8370700.0,149.693603515625
2021-01-12,151.16000366210938,149.92999267578125,150.7899932861328,150.9499969482422,12186300.0,149.57467651367188
2021-01-13,153.07000732421875,151.57000732421875,151.66000366210938,152.64999389648438,12533300.0,151.25917053222656
2021-01-14,152.63999938964844,150.7899932861328,152.5800018310547,151.22000122070312,14835500.0,149.84222412109375
2021-01-15,152.36000061035156,151.47000122070312,152.19000244140625,151.82000732421875,11624700.0,150.43675231933594
2021-01-19,152.36000061035156,151.50999450683594,151.6199951171875,152.30999755859375,9575600.0,150.9222869873047
2021-01-20,152.47999572753906,151.7899932861328,151.99000549316406,152.4600067138672,5368900.0,151.0709228515625
2021-01-21,151.75,151.10000610351562,151.44000244140625,151.38999938964844,8162700.0,150.01071166992188
2021-01-22,152.00999450683594,151.4199981689453,151.85000610351562,151.8800048828125,9507200.0,150.49623107910156
2021-01-25,153.69000244140625,152.63999938964844,152.75999450683594,153.6699981689453,8712600.0,152.2698974609375
2021-01-26,153.60000610351562,152.9199981689453,153.10000610351562,153.3800048828125,7690300.0,151.9825439453125
2021-01-27,154.5,153.52999877929688,154.07000732421875,153.77000427246094,7895200.0,152.36900329589844
2021-01-28,153.4600067138672,152.16000366210938,153.39999389648438,152.9199981689453,10667800.0,151.52670288085938
2021-01-29,152.49000549316406,151.3000030517578,151.4199981689453,152.0,14965900.0,150.6151123046875
