
S&P 500 INDEX,Last: 4604.3701,Change:  18.7801
Date: 9 декабря 2023 г. в 13:49 GMT-5,Bid: 4579.7998,Ask: 4623.75,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 08 2023,SPXW231208C03890000,0,0,709.4,717.9,0,0,0,0,0,3890.00,SPXW231208P03890000,0.15,0,0,0.05,0,0,0,0,216
Fri Dec 08 2023,SPXW231208C03900000,0,0,699.4,707.9,0,0,0,0,0,3900.00,SPXW231208P03900000,0.05,0.025,0,0.05,1,0,0,0,3389
Fri Dec 08 2023,SPXW231208C03910000,0,0,689.4,697.9,0,0,0,0,0,3910.00,SPXW231208P03910000,0.1,0,0,0.05,0,0,0,0,808
Fri Dec 08 2023,SPXW231208C03920000,0,0,679.4,687.9,0,0,0,0,0,3920.00,SPXW231208P03920000,0.1,0,0,0.05,0,0,0,0,424
Fri Dec 08 2023,SPXW231208C03925000,642.76,0,674.4,682.9,0,0,0,0,40,3925.00,SPXW231208P03925000,0.05,0,0,0.05,0,0,0,0,3469
Fri Dec 08 2023,SPXW231208C03930000,445.56,0,669.4,677.9,0,0,0,0,2,3930.00,SPXW231208P03930000,0.05,0,0,0.05,0,0,0,0,196
Fri Dec 08 2023,SPXW231208C03940000,646.61,2.51,659.4,667.9,2,0,0,0,2,3940.00,SPXW231208P03940000,0.15,0,0,0.05,0,0,0,0,96
Fri Dec 08 2023,SPXW231208C03950000,0,0,649.4,657.9,0,0,0,0,0,3950.00,SPXW231208P03950000,0.05,0.025,0,0.05,1,0,0,0,4099
Fri Dec 08 2023,SPXW231208C03960000,0,0,639.4,647.9,0,0,0,0,0,3960.00,SPXW231208P03960000,0.2,0,0,0.05,0,0,0,0,1048
Fri Dec 08 2023,SPXW231208C03970000,0,0,629.4,637.9,0,0,0,0,0,3970.00,SPXW231208P03970000,0.1,0,0,0.05,0,0,0,0,3266
Fri Dec 08 2023,SPXW231208C03975000,202.34,0,624.4,632.9,0,0,0,0,2,3975.00,SPXW231208P03975000,0.05,0,0,0.05,0,0,0,0,1589
Fri Dec 08 2023,SPXW231208C03980000,0,0,619.4,627.9,0,0,0,0,585,3980.00,SPXW231208P03980000,0.05,0.025,0,0.05,1,0,0,0,124
Fri Dec 08 2023,SPXW231208C03990000,601.96,7.86,609.4,617.9,1,0,0,0,3,3990.00,SPXW231208P03990000,0.1,0,0,0.05,0,0,0,0,501
Fri Dec 08 2023,SPXW231208C04000000,587.56,3.46,599.4,607.9,1,0,0,0,1046,4000.00,SPXW231208P04000000,0.05,0,0,0.05,0,0,0,0,3255
Fri Dec 08 2023,SPXW231208C04010000,0,0,589.4,597.9,0,0,0,0,5,4010.00,SPXW231208P04010000,0.1,0,0,0.05,0,0,0,0,296
Fri Dec 08 2023,SPXW231208C04020000,0,0,579.4,587.9,0,0,0,0,0,4020.00,SPXW231208P04020000,0.1,0,0,0.05,0,0,0,0,1193
Fri Dec 08 2023,SPXW231208C04025000,353.97,0,575.2,582.9,0,0,0,0,6,4025.00,SPXW231208P04025000,0.05,0.025,0,0.05,1,0,0,0,4726
Fri Dec 08 2023,SPXW231208C04030000,0,0,569.4,577.9,0,0,0,0,0,4030.00,SPXW231208P04030000,0.05,0,0,0.05,0,0,0,0,219
Fri Dec 08 2023,SPXW231208C04040000,359.15,0,559.4,567.9,0,0,0,0,3,4040.00,SPXW231208P04040000,0.05,0,0,0.05,0,0,0,0,2729
Fri Dec 08 2023,SPXW231208C04050000,190.62,0,549.4,557.9,0,0,0,0,23,4050.00,SPXW231208P04050000,0.05,0.025,0,0.05,1,0,0,0,6487
Fri Dec 08 2023,SPXW231208C04060000,500.91,0,539.4,547.9,0,0,0,0,0,4060.00,SPXW231208P04060000,0.07,0,0,0.05,0,0,0,0,876
Fri Dec 08 2023,SPXW231208C04070000,0,0,529.4,537.9,0,0,0,0,0,4070.00,SPXW231208P04070000,0.05,0,0,0.05,0,0,0,0,3226
Fri Dec 08 2023,SPXW231208C04075000,533.23,25.18,524.5,532.8,1,0,0,0,8,4075.00,SPXW231208P04075000,0.05,0,0,0.05,0,0,0,0,3713
Fri Dec 08 2023,SPXW231208C04080000,170.32,0,519.4,527.9,0,0,0,0,15,4080.00,SPXW231208P04080000,0.05,0,0,0.05,0,0,0,0,818
Fri Dec 08 2023,SPXW231208C04090000,124.68,0,509.4,517.9,0,0,0,0,11,4090.00,SPXW231208P04090000,0.05,0,0,0.05,0,0,0,0,2178
Fri Dec 08 2023,SPXW231208C04100000,500.28,16.13,499.4,507.9,3,0,0,0,76,4100.00,SPXW231208P04100000,0.05,0,0,0.05,0,0,0,0,6561
Fri Dec 08 2023,SPXW231208C04110000,215.53,0,489.4,497.9,0,0,0,0,96,4110.00,SPXW231208P04110000,0.05,0,0,0.05,0,0,0,0,480
Fri Dec 08 2023,SPXW231208C04120000,227.2,0,479.4,487.9,0,0,0,0,203,4120.00,SPXW231208P04120000,0.05,0,0,0.05,0,0,0,0,3033
Fri Dec 08 2023,SPXW231208C04125000,143.9,0,474.4,482.9,0,0,0,0,65,4125.00,SPXW231208P04125000,0.05,0,0,0.05,0,0,0,0,3588
Fri Dec 08 2023,SPXW231208C04130000,471.55,17.35,469.4,477.9,2,0,0,0,37,4130.00,SPXW231208P04130000,0.05,0,0,0.05,0,0,0,0,626
Fri Dec 08 2023,SPXW231208C04140000,455.29,11.09,459.4,467.9,5,0,0,0,377,4140.00,SPXW231208P04140000,0.05,0,0,0.05,0,0,0,0,903
Fri Dec 08 2023,SPXW231208C04145000,0,0,454.4,462.9,0,0,0,0,0,4145.00,SPXW231208P04145000,0.05,0,0,0.05,0,0,0,0,310
Fri Dec 08 2023,SPXW231208C04150000,394,0,449.4,457.9,0,0,0,0,49,4150.00,SPXW231208P04150000,0.05,0,0,0.05,0,0,0,0,1695
Fri Dec 08 2023,SPXW231208C04155000,429.75,0.55,444.4,452.9,1,0,0,0,1,4155.00,SPXW231208P04155000,0.05,0,0,0.05,0,0,0,0,759
Fri Dec 08 2023,SPXW231208C04160000,433.12,8.92,439.4,447.9,5,0,0,0,96,4160.00,SPXW231208P04160000,0.05,0,0,0.05,4,0,0,0,1677
Fri Dec 08 2023,SPXW231208C04165000,0,0,434.4,442.9,0,0,0,0,0,4165.00,SPXW231208P04165000,0.07,0,0,0.05,0,0,0,0,33
Fri Dec 08 2023,SPXW231208C04170000,429.52,15.32,429.4,437.9,5,0,0,0,91,4170.00,SPXW231208P04170000,0.05,0,0,0.05,0,0,0,0,904
Fri Dec 08 2023,SPXW231208C04175000,408.65,0,424.5,432.8,0,0,0,0,151,4175.00,SPXW231208P04175000,0.05,0,0,0.05,0,0,0,0,1125
Fri Dec 08 2023,SPXW231208C04180000,385.62,0,419.4,427.9,0,0,0,0,121,4180.00,SPXW231208P04180000,0.05,-0.025,0,0.05,1,0,0,0,385
Fri Dec 08 2023,SPXW231208C04185000,367.81,0,414.4,422.9,0,0,0,0,0,4185.00,SPXW231208P04185000,0.05,0,0,0.05,0,0,0,0,558
Fri Dec 08 2023,SPXW231208C04190000,419.24,26.09,409.4,417.9,3,0,0,0,52,4190.00,SPXW231208P04190000,0.15,0,0,0.05,0,0,0,0,1258
Fri Dec 08 2023,SPXW231208C04195000,0,0,404.4,412.9,0,0,0,0,0,4195.00,SPXW231208P04195000,0.15,0,0,0.05,0,0,0,0,367
Fri Dec 08 2023,SPXW231208C04200000,403.26,20.11,399.4,407.9,20,0,0,0,272,4200.00,SPXW231208P04200000,0.05,-0.025,0,0.05,32,0,0,0,2898
Fri Dec 08 2023,SPXW231208C04205000,395.23,17.08,394.4,402.9,4,0,0,0,4,4205.00,SPXW231208P04205000,0.15,0,0,0.05,0,0,0,0,369
Fri Dec 08 2023,SPXW231208C04210000,394.1,20.9,389.4,397.9,10,0,0,0,299,4210.00,SPXW231208P04210000,0.1,0,0,0.05,0,0,0,0,493
Fri Dec 08 2023,SPXW231208C04215000,365.01,-3.19,384.4,392.9,2,0,0,0,3,4215.00,SPXW231208P04215000,0.15,0,0,0.05,0,0,0,0,297
Fri Dec 08 2023,SPXW231208C04220000,385.5,22.3,379.4,387.9,4,0,0,0,427,4220.00,SPXW231208P04220000,0.05,-0.025,0,0.05,2,0,0,0,681
Fri Dec 08 2023,SPXW231208C04225000,332.56,0,374.5,382.8,0,0,0,0,68,4225.00,SPXW231208P04225000,0.17,0,0,0.05,0,0,0,0,2004
Fri Dec 08 2023,SPXW231208C04230000,373.05,19.9,369.4,377.9,5,0,0,0,201,4230.00,SPXW231208P04230000,0.05,-0.025,0,0.05,1,0,0,0,1792
Fri Dec 08 2023,SPXW231208C04235000,322.36,0,364.4,372.9,0,0,0,0,1,4235.00,SPXW231208P04235000,0.1,0,0,0.05,0,0,0,0,233
Fri Dec 08 2023,SPXW231208C04240000,349.55,5.35,359.4,367.9,4,0,0,0,57,4240.00,SPXW231208P04240000,0.07,0,0,0.05,0,0,0,0,271
Fri Dec 08 2023,SPXW231208C04245000,0,0,354.4,362.9,0,0,0,0,0,4245.00,SPXW231208P04245000,0.05,-0.025,0,0.05,5,0,0,0,823
Fri Dec 08 2023,SPXW231208C04250000,354.12,19.92,349.4,357.9,23,0,0,0,430,4250.00,SPXW231208P04250000,0.05,-0.025,0,0.05,5,0,0,0,1689
Fri Dec 08 2023,SPXW231208C04255000,342.17,0,344.4,352.9,0,0,0,0,15,4255.00,SPXW231208P04255000,0.1,0,0,0.05,0,0,0,0,305
Fri Dec 08 2023,SPXW231208C04260000,345.84,21.59,339.4,347.9,3,0,0,0,83,4260.00,SPXW231208P04260000,0.1,0,0,0.05,0,0,0,0,714
Fri Dec 08 2023,SPXW231208C04265000,0,0,334.4,342.9,0,0,0,0,0,4265.00,SPXW231208P04265000,0.1,0,0,0.05,0,0,0,0,628
Fri Dec 08 2023,SPXW231208C04270000,313.58,-0.72,329.4,337.9,3,0,0,0,660,4270.00,SPXW231208P04270000,0.07,0,0,0.05,0,0,0,0,1313
Fri Dec 08 2023,SPXW231208C04275000,303.73,-5.57,324.4,332.9,4,0,0,0,1024,4275.00,SPXW231208P04275000,0.1,0,0,0.05,0,0,0,0,3969
Fri Dec 08 2023,SPXW231208C04280000,325.03,20.73,319.4,327.9,19,0,0,0,401,4280.00,SPXW231208P04280000,0.07,0,0,0.05,0,0,0,0,533
Fri Dec 08 2023,SPXW231208C04285000,319.01,19.71,314.4,322.9,35,0,0,0,47,4285.00,SPXW231208P04285000,0.1,0,0,0.05,0,0,0,0,1930
Fri Dec 08 2023,SPXW231208C04290000,314.6,20.3,309.4,317.9,34,0,0,0,281,4290.00,SPXW231208P04290000,0.1,0,0,0.05,0,0,0,0,1807
Fri Dec 08 2023,SPXW231208C04295000,314.08,24.78,304.4,312.9,31,0,0,0,32,4295.00,SPXW231208P04295000,0.03,-0.045,0,0.05,2029,0,0,0,2405
Fri Dec 08 2023,SPXW231208C04300000,305.62,21.32,299.4,307.9,82,0,0,0,1288,4300.00,SPXW231208P04300000,0.1,0,0,0.05,0,0,0,0,2888
Fri Dec 08 2023,SPXW231208C04305000,296.59,17.29,294.4,302.9,6,0,0,0,28,4305.00,SPXW231208P04305000,0.1,0,0,0.05,0,0,0,0,909
Fri Dec 08 2023,SPXW231208C04310000,295.59,21.29,289.4,297.9,24,0,0,0,75,4310.00,SPXW231208P04310000,0.05,-0.025,0,0.05,1,0,0,0,611
Fri Dec 08 2023,SPXW231208C04315000,280.95,11.65,285.2,292.9,3,0,0,0,84,4315.00,SPXW231208P04315000,0.3,0,0,0.05,0,0,0,0,251
Fri Dec 08 2023,SPXW231208C04320000,287.91,23.61,279.5,287.9,24,0,0,0,291,4320.00,SPXW231208P04320000,0.12,0,0,0.05,0,0,0,0,769
Fri Dec 08 2023,SPXW231208C04325000,269.57,11.32,274.5,282.9,9,0,0,0,709,4325.00,SPXW231208P04325000,0.05,-0.025,0,0.05,11,0,0,0,4434
Fri Dec 08 2023,SPXW231208C04330000,229.7,0,269.4,277.9,0,0,0,0,66,4330.00,SPXW231208P04330000,0.07,0,0,0.05,0,0,0,0,1046
Fri Dec 08 2023,SPXW231208C04335000,270.38,21.83,264.4,272.9,20,0,0,0,33,4335.00,SPXW231208P04335000,0.15,0,0,0.05,0,0,0,0,865
Fri Dec 08 2023,SPXW231208C04340000,264.85,21.65,259.5,267.9,5,0,0,0,84,4340.00,SPXW231208P04340000,0.07,0,0,0.05,0,0,0,0,2250
Fri Dec 08 2023,SPXW231208C04345000,246.98,8.78,254.4,262.9,26,0,0,0,39,4345.00,SPXW231208P04345000,0.05,-0.05,0,0.05,17,0,0,0,2403
Fri Dec 08 2023,SPXW231208C04350000,245.27,12.07,249.4,257.9,16,0,0,0,360,4350.00,SPXW231208P04350000,0.05,-0.075,0,0.05,39,0,0,0,6325
Fri Dec 08 2023,SPXW231208C04355000,246.77,18.57,244.4,252.9,29,0,0,0,51,4355.00,SPXW231208P04355000,0.1,0,0,0.05,0,0,0,0,846
Fri Dec 08 2023,SPXW231208C04360000,225.05,1.85,239.4,247.9,7,0,0,0,344,4360.00,SPXW231208P04360000,0.1,0,0,0.05,0,0,0,0,1087
Fri Dec 08 2023,SPXW231208C04365000,231.9,13.7,236,242.9,92,0,0,0,103,4365.00,SPXW231208P04365000,0.1,0,0,0.05,0,0,0,0,3177
Fri Dec 08 2023,SPXW231208C04370000,220.38,7.08,229.4,237.9,9,0,0,0,130,4370.00,SPXW231208P04370000,0.05,-0.075,0,0.05,5,0,0,0,1092
Fri Dec 08 2023,SPXW231208C04375000,228.7,19.4,224.4,232.9,19,0,0,0,276,4375.00,SPXW231208P04375000,0.12,0,0,0.05,0,0,0,0,5342
Fri Dec 08 2023,SPXW231208C04380000,220.66,16.36,219.4,227.9,6,0,0,0,101,4380.00,SPXW231208P04380000,0.05,-0.075,0,0.05,2,0,0,0,2817
Fri Dec 08 2023,SPXW231208C04385000,219.76,20.46,214.4,222.9,14,0,0,0,143,4385.00,SPXW231208P04385000,0.1,0,0,0.05,0,0,0,0,1099
Fri Dec 08 2023,SPXW231208C04390000,206.81,12.46,209.4,217.9,8,0,0,0,108,4390.00,SPXW231208P04390000,0.05,-0.075,0,0.05,3,0,0,0,772
Fri Dec 08 2023,SPXW231208C04395000,209.67,20.32,204.4,212.9,21,0,0,0,63,4395.00,SPXW231208P04395000,0.05,-0.075,0,0.05,45,0,0,0,1813
Fri Dec 08 2023,SPXW231208C04400000,205.65,20.15,199.4,207.9,76,0,0,0,2021,4400.00,SPXW231208P04400000,0.05,-0.075,0,0.05,21,0,0,0,13356
Fri Dec 08 2023,SPXW231208C04405000,199.65,19.25,194.4,202.9,67,0,0,0,145,4405.00,SPXW231208P04405000,0.05,-0.075,0,0.05,50,0,0,0,1321
